state,zcta5,ZIPName,County,County2
33,03884,"Strafford, NH",Strafford NH,
33,03885,"Stratham, NH",Rockingham NH,
33,03886,"Tamworth, NH",Carroll NH,
33,03887,"Union, NH",Strafford NH,Carroll NH
33,03890,"West Ossipee, NH",Carroll NH,
33,03894,"Wolfeboro, NH",Carroll NH,
34,07001,"Avenel, NJ",Middlesex NJ,
34,07002,"Bayonne, NJ",Hudson NJ,
34,07003,"Bloomfield, NJ",Essex NJ,
34,07004,"Fairfield, NJ",Essex NJ,
34,07005,"Boonton, NJ",Morris NJ,
34,07006,"Caldwell, NJ",Essex NJ,
34,07008,"Carteret, NJ",Middlesex NJ,
34,07009,"Cedar Grove, NJ",Essex NJ,
34,07010,"Cliffside Park, NJ",Bergen NJ,
34,07011,"Clifton, NJ",Passaic NJ,
34,07012,"Clifton, NJ",Passaic NJ,
34,07013,"Clifton, NJ",Passaic NJ,
34,07014,"Clifton, NJ",Passaic NJ,
34,07016,"Cranford, NJ",Union NJ,
34,07017,"East Orange, NJ",Essex NJ,
34,07018,"East Orange, NJ",Essex NJ,
34,07020,"Edgewater, NJ",Bergen NJ,
34,07021,"Essex Fells, NJ",Essex NJ,
34,07022,"Fairview, NJ",Bergen NJ,
34,07023,"Fanwood, NJ",Union NJ,
34,07024,"Fort Lee, NJ",Bergen NJ,
34,07026,"Garfield, NJ",Bergen NJ,
34,07027,"Garwood, NJ",Union NJ,
34,07028,"Glen Ridge, NJ",Essex NJ,
34,07029,"Harrison, NJ",Hudson NJ,
34,07030,"Hoboken, NJ",Hudson NJ,
34,07031,"North Arlington, NJ",Bergen NJ,
34,07032,"Kearny, NJ",Hudson NJ,
34,07033,"Kenilworth, NJ",Union NJ,
34,07034,"Lake Hiawatha, NJ",Morris NJ,
34,07035,"Lincoln Park, NJ",Morris NJ,
34,07036,"Linden, NJ",Union NJ,
34,07039,"Livingston, NJ",Essex NJ,
34,07040,"Maplewood, NJ",Essex NJ,
34,07041,"Millburn, NJ",Essex NJ,
34,07042,"Montclair, NJ",Essex NJ,
34,07043,"Upper Montclair, NJ",Essex NJ,Passaic NJ
34,07044,"Verona, NJ",Essex NJ,
34,07045,"Montville, NJ",Morris NJ,
34,07046,"Mountain Lakes, NJ",Morris NJ,
34,07047,"North Bergen, NJ",Hudson NJ,
34,07050,"Orange, NJ",Essex NJ,
34,07052,"West Orange, NJ",Essex NJ,
34,07054,"Parsippany, NJ",Morris NJ,
34,07055,"Passaic, NJ",Passaic NJ,
34,07057,"Wallington, NJ",Bergen NJ,
34,07058,"Pine Brook, NJ",Morris NJ,
34,07059,"Warren, NJ",Somerset NJ,
34,07060,"Plainfield, NJ",Union NJ,Somerset NJ
34,07062,"Plainfield, NJ",Union NJ,Somerset NJ
34,07063,"Plainfield, NJ",Union NJ,Somerset NJ
34,07064,"Port Reading, NJ",Middlesex NJ,
34,07065,"Rahway, NJ",Union NJ,
34,07066,"Clark, NJ",Union NJ,
34,07067,"Colonia, NJ",Middlesex NJ,
34,07068,"Roseland, NJ",Essex NJ,
34,07069,"Watchung, NJ",Somerset NJ,
34,07070,"Rutherford, NJ",Bergen NJ,
34,07071,"Lyndhurst, NJ",Bergen NJ,
34,07072,"Carlstadt, NJ",Bergen NJ,
34,07073,"East Rutherford, NJ",Bergen NJ,
34,07074,"Moonachie, NJ",Bergen NJ,
34,07075,"Wood-Ridge, NJ",Bergen NJ,
34,07076,"Scotch Plains, NJ",Union NJ,
34,07077,"Sewaren, NJ",Middlesex NJ,
34,07078,"Short Hills, NJ",Essex NJ,
34,07079,"South Orange, NJ",Essex NJ,
34,07080,"South Plainfield, NJ",Middlesex NJ,
34,07081,"Springfield, NJ",Union NJ,
34,07082,"Towaco, NJ",Morris NJ,
34,07083,"Union, NJ",Union NJ,Essex NJ
34,07086,"Weehawken, NJ",Hudson NJ,
34,07087,"Union City, NJ",Hudson NJ,
34,07088,"Vauxhall, NJ",Union NJ,
34,07090,"Westfield, NJ",Union NJ,
34,07092,"Mountainside, NJ",Union NJ,
34,07093,"West New York, NJ",Hudson NJ,
34,07094,"Secaucus, NJ",Hudson NJ,
34,07095,"Woodbridge, NJ",Middlesex NJ,
34,07102,"Newark, NJ",Essex NJ,
34,07103,"Newark, NJ",Essex NJ,
34,07104,"Newark, NJ",Essex NJ,
